iter	Passed	Remaining
725	3397	1282
726	3401	1277
727	3406	1272
728	3411	1268
729	3416	1263
730	3421	1258
731	3425	1254
732	3429	1249
733	3433	1244
734	3436	1239
735	3440	1234
736	3444	1229
737	3448	1224
738	3452	1219
739	3455	1214
740	3459	1209
741	3463	1204
742	3467	1199
743	3471	1194
744	3475	1189
745	3479	1184
746	3483	1179
747	3486	1174
748	3491	1169
749	3494	1164
750	3498	1160
751	3502	1155
752	3506	1150
753	3510	1145
754	3514	1140
755	3517	1135
756	3521	1130
757	3525	1125
758	3529	1120
759	3534	1116
760	3538	1111
761	3542	1106
762	3546	1101
763	3550	1096
764	3554	1091
765	3561	1087
766	3567	1083
767	3573	1079
768	3578	1075
769	3584	1070
770	3590	1066
771	3596	1062
772	3603	1058
773	3607	1053
774	3611	1048
775	3615	1043
776	3619	1038
777	3623	1033
778	3631	1030
779	3636	1025
780	3640	1020
781	3644	1015
782	3648	1011
783	3652	1006
784	3656	1001
785	3660	996
786	3665	991
787	3670	987
788	3675	982
789	3680	978
790	3686	974
791	3692	969
792	3700	965
793	3705	961
794	3711	956
795	3717	952
796	3722	948
797	3725	943
798	3729	938
799	3737	934
800	3744	930
801	3748	925
802	3752	920
803	3760	916
804	3764	911
805	3768	906
806	3774	902
807	3781	898
808	3786	893
809	3790	889
810	3799	885
811	3803	880
812	3809	876
813	3815	871
814	3819	866
815	3823	862
816	3827	857
817	3831	852
818	3834	847
819	3838	842
820	3842	837
821	3845	832
822	3849	827
823	3853	823
824	3857	818
825	3861	813
826	3864	808
827	3868	803
828	3872	798
829	3876	793
830	3879	789
831	3884	784
832	3891	780
833	3899	776
834	3903	771
835	3909	767
836	3915	762
837	3921	758
838	3924	753
839	3928	748
840	3932	743
841	3936	738
842	3940	733
843	3944	729
844	3948	724
845	3952	719
846	3956	714
847	3960	709
848	3964	705
849	3969	700
850	3973	695
851	3981	691
852	3986	686
853	3989	682
854	3993	677
855	3997	672
856	4001	667
857	4005	662
858	4009	658
859	4013	653
860	4018	648
861	4022	644
862	4029	639
863	4033	634
864	4036	630
865	4041	625
866	4047	620
867	4053	616
868	4058	611
869	4061	606
870	4065	602
871	4069	597
872	4073	592
873	4077	587
874	4080	582
875	4085	578
876	4091	573
877	4098	569
878	4102	564
879	4106	560
880	4111	555
881	4117	550
882	4121	546
883	4129	541
884	4133	537
885	4137	532
886	4140	527
887	4144	522
888	4148	517
889	4153	513
890	4157	508
891	4161	503
892	4165	499
893	4169	494
894	4173	489
895	4178	485
896	4183	480
897	4187	475
898	4195	471
899	4199	466
900	4203	461
901	4207	457
902	4211	452
903	4215	447
904	4218	442
905	4222	438
906	4226	433
907	4229	428
908	4236	424
909	4241	419
910	4245	414
911	4249	410
912	4252	405
913	4258	400
914	4262	395
915	4267	391
916	4274	386
917	4280	382
918	4286	377
919	4290	373
920	4295	368
921	4302	363
922	4308	359
923	4312	354
924	4317	350
925	4322	345
926	4327	340
927	4333	336
928	4337	331
929	4341	326
930	4345	322
931	4351	317
932	4355	312
933	4361	308
934	4367	303
935	4372	298
936	4376	294
937	4382	289
938	4387	284
939	4391	280
940	4395	275
941	4399	270
942	4404	266
943	4411	261
944	4418	257
945	4422	252
946	4426	247
947	4430	243
948	4434	238
949	4437	233
950	4445	229
951	4448	224
952	4452	219
953	4456	214
954	4460	210
955	4464	205
956	4468	200
957	4472	196
958	4476	191
959	4481	186
960	4486	182
961	4490	177
962	4494	172
963	4500	168
964	4504	163
965	4508	158
966	4511	153
967	4515	149
968	4519	144
969	4523	139
970	4527	135
971	4534	130
972	4538	125
973	4541	121
974	4545	116
975	4551	111
976	4555	107
977	4559	102
978	4563	97
979	4567	93
980	4571	88
981	4574	83
982	4578	79
983	4582	74
984	4586	69
985	4592	65
986	4596	60
987	4602	55
988	4610	51
989	4615	46
990	4618	41
991	4622	37
992	4626	32
993	4631	27
994	4634	23
995	4638	18
996	4642	13
997	4646	9
998	4649	4
999	4653	0
